SetNumber,ElementID,Qty,Colour,Category,DesignID,ElementName,ImageURL,ElementSetCount
"30394-1","6206150","2","Bright Green","Animals & Nature","24866","FLOWER 1X1","/cdn/cs/set/assets/blte832e206ed8ab056/6206150.jpg","240"
"30394-1","6162510","1","Bright Orange","Minifigure Parts","28280","FIGUR HEAD NO.1'NO.12'","/cdn/product-assets/element.img.lod5photo.192x192/6162510.jpg","28"
"30394-1","302421","1","Bright Red","Plates","3024","PLATE 1X1","/cdn/cs/set/assets/blt04ebe8da2fd492d1/302421.jpg","513"
"30394-1","4565321","1","Dark Green","Plates","87580","PLATE 2X2 W 1 KNOB","/cdn/product-assets/element.img.lod5photo.192x192/4565321.jpg","74"
"30394-1","6097194","1","Dark Green","Plates","3958","PLATE 6X6","/cdn/product-assets/element.img.lod5photo.192x192/6097194.jpg","30"
"30394-1","4211100","1","Dark Stone Grey","Bricks","3009","BRICK 1X6","/cdn/cs/set/assets/bltdf62b6cd92b4d05b/4211100.jpg","324"
"30394-1","4211104","2","Dark Stone Grey","Bricks","3622","BRICK 1X3","/cdn/cs/set/assets/blteb4a61116e757bb1/4211104.jpg","347"
"30394-1","6126083","2","Dark Stone Grey","Plates","23893","PLATE 2X2 W 1 KNOB","/cdn/product-assets/element.img.lod5photo.192x192/6126083.jpg","327"
"30394-1","6096682","2","Flame Yellowish Orange","Minifigure Accessories","33183","CARROT TOP","/cdn/product-assets/element.img.lod5photo.192x192/6096682.jpg","53"
"30394-1","4211387","1","Medium Stone Grey","Bricks","3003","BRICK 2X2","/cdn/cs/set/assets/bltebc3fbf60ebfac74/4211387.jpg","587"
"30394-1","4211440","2","Medium Stone Grey","Bricks","3700","TECHNIC BRICK 1X2, Ø4.9","/cdn/cs/set/assets/blt6d2255aff1af8aac/4211440.jpg","468"
"30394-1","6347715","1","Medium Stone Grey","Miscellaneous","42456","3 w.arch w.knob and shaft ø3.2","/cdn/product-assets/element.img.lod5photo.192x192/6347715.jpg","111"
"30394-1","4221886","1","Reddish Brown","Minifigure Parts","73200","MINI LOWER PART","/cdn/cs/set/assets/blt59ce55424adaf4d0/4221886_front.png","126"
"30394-1","4271874","1","Reddish Brown","Plates","3032","PLATE 4X6","/cdn/cs/set/assets/blta391d7b7d74b42d2/4271874.jpg","175"
"30394-1","6089103","1","Reddish Brown","Minifigure Accessories","18792","WEAPON NO. 4","/cdn/product-assets/element.img.lod5photo.192x192/6089103.jpg","31"
"30394-1","6121832","1","Sand Green","Minifigure Parts","76382","MINI UPPER PART NO. 3096","/cdn/product-assets/element.img.lod5photo.192x192/6121832.jpg","30"
"30394-1","6104264","1","Silver Metallic","Minifigure Accessories","18789","TOOL NO. 3","/cdn/product-assets/element.img.lod5photo.192x192/6104264.jpg","17"
"30394-1","6121350","1","Silver Metallic","Bricks","59900","NOSE CONE SMALL 1X1","/cdn/cs/set/assets/blt8b65556fcf21aa5a/6121350.jpg","95"
"30394-1","6244887","1","Transparent Blue","Bricks","35277","ROOF TILE 2X2/45°","/cdn/cs/set/assets/blt88bfeac68624e07e/6244887.jpg","37"
"30394-1","614101","1","White","Plates","6141","ROUND PLATE 1X1","/cdn/cs/set/assets/blt987324ff089d423b/614101.jpg","802"
"30394-1","4508143","1","White","Minifigure Accessories","60115","Skeleton body w. shaft 3.2","/cdn/product-assets/element.img.lod5photo.192x192/4508143.jpg","67"
"30394-1","6162386","1","White","Minifigure Parts","28268","FIGUR HEAD NO.1 'NO.2'","/cdn/product-assets/element.img.lod5photo.192x192/6162386.jpg","28"
"30394-1","6240495","2","White","Minifigure Accessories","31733","SKELETON LEG","/cdn/product-assets/element.img.lod5photo.192x192/6240495.jpg","76"
"30394-1","6252200","2","White","Minifigure Accessories","33449","SKELETON ARM NO. 3","/cdn/product-assets/element.img.lod5photo.192x192/6252200.jpg","70"




