SetNumber,ElementID,Qty,Colour,Category,DesignID,ElementName,ImageURL,ElementSetCount
"21178-1","6058016","1","Aqua","Plates","3024","PLATE 1X1","/cdn/product-assets/element.img.lod5photo.192x192/6058016.jpg","41"
"21178-1","6382504","2","Aqua","Plates","6141","PLATE 1X1 ROUND","/cdn/product-assets/element.img.lod5photo.192x192/6382504.jpg","8"
"21178-1","300126","1","Black","Bricks","3001","BRICK 2X4","/cdn/cs/set/assets/bltfeb4c126df403de0/300126.jpg","793"
"21178-1","300326","2","Black","Bricks","3003","BRICK 2X2","/cdn/cs/set/assets/blt2d0f75016fdf00c0/300326.jpg","758"
"21178-1","302026","2","Black","Plates","3020","PLATE 2X4","/cdn/cs/set/assets/blte231204619f56ae3/302026.jpg","1599"
"21178-1","403226","4","Black","Plates","4032","PLATE 2X2 ROUND","/cdn/cs/set/assets/blt7e77780ff1a64dc9/403226.jpg","814"
"21178-1","614126","2","Black","Plates","6141","ROUND PLATE 1X1","/cdn/cs/set/assets/blt1d55e0a54cb35585/614126.jpg","1098"
"21178-1","6210270","1","Black","Plates","35480","PLATE 1X2, ROUNDED, NO. 1","/cdn/product-assets/element.img.lod5photo.192x192/6210270.jpg","347"
"21178-1","6385114","1","Brick Yellow","Plates","1005","FLAT TILE 2X2, NO. 590","/cdn/product-assets/element.img.lod5photo.192x192/6385114.jpg","5"
"21178-1","303223","1","Bright Blue","Plates","3032","PLATE 4X6","/cdn/cs/set/assets/bltd894df86e9680b78/303223.jpg","117"
"21178-1","4243815","1","Bright Blue","Plates","3031","PLATE 4X4","/cdn/cs/set/assets/blte9759246555115d0/4243815.jpg","152"
"21178-1","4120158","1","Bright Orange","Minifigure Parts","73200","MINI LOWER PART","/cdn/cs/set/assets/bltb1bcd34ef29ebb8e/4120158.jpg","128"
"21178-1","4121739","1","Bright Orange","Bricks","3004","BRICK 1X2","/cdn/cs/set/assets/blte00450332ca04efe/4121739.jpg","281"
"21178-1","4121741","3","Bright Orange","Plates","3795","PLATE 2X6","/cdn/cs/set/assets/blt8c229750be3e6bcd/4121741.jpg","145"
"21178-1","4153825","6","Bright Orange","Bricks","3003","BRICK 2X2","/cdn/cs/set/assets/bltfde95b5b4024ee11/4153825.jpg","189"
"21178-1","4153827","9","Bright Orange","Bricks","3001","BRICK 2X4","/cdn/cs/set/assets/blt436aaaeb7dfb0fa7/4153827.jpg","160"
"21178-1","4158355","5","Bright Orange","Plates","3020","PLATE 2X4","/cdn/cs/set/assets/blt910206eaa7a45c8f/4158355.jpg","278"
"21178-1","4159007","3","Bright Orange","Plates","3022","PLATE 2X2","/cdn/cs/set/assets/blt27576e0a8c6b81ed/4159007.jpg","295"
"21178-1","4173805","1","Bright Orange","Bricks","3005","BRICK 1X1","/cdn/cs/set/assets/blt5609cfe0b4183800/4173805.jpg","181"
"21178-1","4177932","1","Bright Orange","Plates","3023","PLATE 1X2","/cdn/cs/set/assets/blt375c23a44fde5272/4177932.jpg","409"
"21178-1","4188771","1","Bright Orange","Plates","3069","FLAT TILE 1X2","/cdn/cs/set/assets/blt86cfdd3449a66cdf/4188771.jpg","180"
"21178-1","4524929","5","Bright Orange","Plates","3024","PLATE 1X1","/cdn/cs/set/assets/blt96402cf4d16f1ad2/4524929.jpg","152"
"21178-1","4542142","6","Bright Orange","Plates","3068","FLAT TILE 2X2","/cdn/cs/set/assets/bltc58edb2c1f94a793/4542142.jpg","84"
"21178-1","4620693","1","Bright Orange","Plates","63864","FLAT TILE 1X3","/cdn/product-assets/element.img.lod5photo.192x192/4620693.jpg","56"
"21178-1","4623481","1","Bright Orange","Animals & Nature","64648","FISH W. KNOB","/cdn/cs/set/assets/bltebcaf8956304354c/4623481.png","65"
"21178-1","4648853","3","Bright Orange","Plates","87079","FLAT TILE 2X4","/cdn/product-assets/element.img.lod5photo.192x192/4648853.jpg","90"
"21178-1","6034497","1","Bright Orange","Plates","3033","PLATE 6X10","/cdn/product-assets/element.img.lod5photo.192x192/6034497.jpg","16"
"21178-1","6126063","6","Bright Orange","Plates","23893","PLATE 2X2 W 1 KNOB","/cdn/product-assets/element.img.lod5photo.192x192/6126063.jpg","53"
"21178-1","6147047","1","Bright Orange","Plates","3623","PLATE 1X3","/cdn/product-assets/element.img.lod5photo.192x192/6147047.jpg","68"
"21178-1","6293300","2","Bright Orange","Animals & Nature","67028","ANIMAL HEAD, NO. 49","/cdn/product-assets/element.img.lod5photo.192x192/6293300.jpg","2"
"21178-1","6382505","1","Bright Orange","Plates","3030","PLATE 4X10","/cdn/product-assets/element.img.lod5photo.192x192/6382505.jpg","2"
"21178-1","6382506","11","Bright Orange","Bricks","44237","BRICK 2X6","/cdn/product-assets/element.img.lod5photo.192x192/6382506.jpg","10"
"21178-1","6385115","1","Bright Orange","Minifigure Parts","1007","FIGURE HEAD, NO. 46","/cdn/product-assets/element.img.lod5photo.192x192/6385115.jpg","1"
"21178-1","6389950","1","Bright Orange","Minifigure Parts","76382","MINI UPPER PART, NO. 5978","/cdn/product-assets/element.img.lod5photo.192x192/6389950.jpg","1"
